City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,oranjemund,-28.55,16.4333,16.650000000000034,88,22,2.93,,1703808045
65,uromi,6.7,6.3333,21.680000000000007,32,6,1.14,NG,1703808046
66,namibe,-15.1961,12.1522,20.80000000000001,80,33,3.08,AO,1703808048
67,motueka,-41.1333,173.0167,21.170000000000016,84,91,3.1,NZ,1703808049
68,bilthra,26.1231,83.8689,13.689999999999998,80,0,1.25,IN,1703808050
69,brisas de zicatela,15.8369,-97.0419,25.400000000000034,75,57,1.44,MX,1703808051
70,ferkessedougou,9.6,-5.2,22.450000000000045,14,15,2.2,CI,1703808052
71,nouadhibou,20.931,-17.0347,20.99000000000001,52,9,4.63,MR,1703808054
72,colonia,50.9333,6.95,11.57000000000005,71,75,6.17,DE,1703808055
73,kargasok,59.0556,80.8572,-4.310000000000002,95,97,4.38,RU,1703808056
74,aasiaat,68.7098,-52.8699,-16.649999999999977,89,97,0.71,GL,1703808057
75,santo antonio do ica,-3.1022,-67.9397,23.010000000000048,98,100,1.12,BR,1703808058
76,colac,-38.3333,143.5833,14.910000000000025,44,4,1.82,AU,1703808059
77,tromso,69.6496,18.957,-8.049999999999955,89,89,3.43,NO,1703808060
78,mcpherson,38.3708,-97.6642,2.0500000000000114,85,35,4.0,US,1703807904
79,pittsfield,42.4501,-73.2454,7.760000000000048,84,100,5.14,US,1703808033
80,lata,40.1629,-8.3327,11.150000000000034,90,100,1.54,PT,1703808063
81,salekhard,66.53,66.6019,-8.75,95,100,6.47,RU,1703808065
82,azua,18.4532,-70.7349,25.439999999999998,92,96,1.2,DO,1703808004
83,gaiman,-43.2897,-65.4929,12.920000000000016,58,27,10.27,AR,1703808067
84,novi pazar,43.1367,20.5122,5.830000000000041,72,4,1.0,RS,1703808068
85,port-aux-francais,-49.35,70.2167,3.3799999999999955,78,99,15.67,TF,1703808069
86,newman,37.3138,-121.0208,19.57000000000005,74,39,1.92,US,1703807788
87,papatowai,-46.5619,169.4708,16.78000000000003,71,100,2.44,NZ,1703808071
88,island harbour,50.724,-1.2758,11.07000000000005,85,88,4.02,GB,1703808072
89,puerto natales,-51.7236,-72.4875,7.270000000000039,71,66,5.32,CL,1703808073
90,whitehorse,60.7161,-135.0538,-11.569999999999993,85,75,1.54,CA,1703808074
91,nemuro,43.3236,145.575,-2.339999999999975,68,31,4.46,JP,1703808031
92,trofa,41.3065,-8.5764,12.310000000000002,100,100,4.39,PT,1703808076
93,puerto ayora,-0.7393,-90.3518,25.310000000000002,94,80,2.68,EC,1703808077
